Annealing,0,CatBoostClassifier,accuracy,8,0.888471177945,0.0142886914075,"{'depth': 7, 'iterations': 44, 'l2_leaf_reg': 42, 'learning_rate': 0.409507900573786, 'random_strength': 4.4203195379934144, 'rsm': 0.69763119592726486}",
depth,iterations,l2_leaf_reg,learning_rate,random_strength,rsm,,,
7,44,42,0.409507900574,4.42031953799,0.697631195927,,,
Annealing,0,CatBoostClassifier,accuracy,2,0.888471177945,0.0180910447931,"{'depth': 9, 'iterations': 42, 'l2_leaf_reg': 87, 'learning_rate': 0.52997717237505737, 'random_strength': 3.9778479610082971, 'rsm': 0.83607876353737753}",
depth,iterations,l2_leaf_reg,learning_rate,random_strength,rsm,,,
9,42,87,0.529977172375,3.97784796101,0.836078763537,,,
Annealing,0,CatBoostClassifier,f1_weighted,9,0.904387626635,0.0288572735649,"{'depth': 12, 'iterations': 38, 'l2_leaf_reg': 11, 'learning_rate': 0.26038256107384089, 'random_strength': 1.3392629765485331, 'rsm': 0.31542835092418386}",
depth,iterations,l2_leaf_reg,learning_rate,random_strength,rsm,,,
12,38,11,0.260382561074,1.33926297655,0.315428350924,,,
Annealing,0,CatBoostClassifier,f1_weighted,8,0.879570112071,0.0155751906112,"{'depth': 7, 'iterations': 44, 'l2_leaf_reg': 42, 'learning_rate': 0.409507900573786, 'random_strength': 4.4203195379934144, 'rsm': 0.69763119592726486}",
depth,iterations,l2_leaf_reg,learning_rate,random_strength,rsm,,,
7,44,42,0.409507900574,4.42031953799,0.697631195927,,,
Annealing,0,CatBoostClassifier,f1_weighted,2,0.877642319647,0.0223859107156,"{'depth': 9, 'iterations': 42, 'l2_leaf_reg': 87, 'learning_rate': 0.52997717237505737, 'random_strength': 3.9778479610082971, 'rsm': 0.83607876353737753}",
depth,iterations,l2_leaf_reg,learning_rate,random_strength,rsm,,,
9,42,87,0.529977172375,3.97784796101,0.836078763537,,,
Annealing,0,CatBoostClassifier,neg_log_loss,9,-0.280466737333,0.0420940827475,"{'depth': 12, 'iterations': 38, 'l2_leaf_reg': 11, 'learning_rate': 0.26038256107384089, 'random_strength': 1.3392629765485331, 'rsm': 0.31542835092418386}",
depth,iterations,l2_leaf_reg,learning_rate,random_strength,rsm,,,
12,38,11,0.260382561074,1.33926297655,0.315428350924,,,
Annealing,0,CatBoostClassifier,neg_log_loss,8,-0.312685007795,0.0327863807047,"{'depth': 7, 'iterations': 44, 'l2_leaf_reg': 42, 'learning_rate': 0.409507900573786, 'random_strength': 4.4203195379934144, 'rsm': 0.69763119592726486}",
depth,iterations,l2_leaf_reg,learning_rate,random_strength,rsm,,,
7,44,42,0.409507900574,4.42031953799,0.697631195927,,,
Annealing,0,CatBoostClassifier,neg_log_loss,1,-0.3162148382,0.0386499985528,"{'depth': 5, 'iterations': 39, 'l2_leaf_reg': 87, 'learning_rate': 0.94177300078207982, 'random_strength': 9.686627605010294, 'rsm': 0.38344151882577771}",
depth,iterations,l2_leaf_reg,learning_rate,random_strength,rsm,,,
5,39,87,0.941773000782,9.68662760501,0.383441518826,,,
Annealing,111,XGBClassifier,accuracy,4,0.802005012531,0.0234407741928,"{'colsample_bytree': 0.96822823759893117, 'gamma': 3.6077620064287794, 'learning_rate': 0.8997204066587916, 'max_depth': 11, 'min_child_weight': 19.197911834329673, 'n_estimators': 30, 'reg_alpha': 1.9464979068715309, 'reg_lambda': 13, 'subsample': 0.8665556736882436}",
colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
0.968228237599,3.60776200643,0.899720406659,11,19.1979118343,30,1.94649790687,13,0.866555673688
Annealing,111,XGBClassifier,accuracy,8,0.800751879699,0.00704381748222,"{'colsample_bytree': 0.86900124541044066, 'gamma': 2.1049924581368176, 'learning_rate': 0.85206457718643547, 'max_depth': 3, 'min_child_weight': 8.1923283466419132, 'n_estimators': 39, 'reg_alpha': 11.619779341850629, 'reg_lambda': 20, 'subsample': 0.9003944179579163}",
colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
0.86900124541,2.10499245814,0.852064577186,3,8.19232834664,39,11.6197793419,20,0.900394417958
Annealing,111,XGBClassifier,accuracy,9,0.761904761905,0.00535151593847,"{'colsample_bytree': 0.7433868572841017, 'gamma': 8.5756806211844481, 'learning_rate': 0.69210815235821366, 'max_depth': 11, 'min_child_weight': 52.893332883224971, 'n_estimators': 36, 'reg_alpha': 155.21690404055258, 'reg_lambda': 24, 'subsample': 0.82176910552890381}",
colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
0.743386857284,8.57568062118,0.692108152358,11,52.8933328832,36,155.216904041,24,0.821769105529
Annealing,111,XGBClassifier,f1_weighted,4,0.745584686475,0.0325019179213,"{'colsample_bytree': 0.96822823759893117, 'gamma': 3.6077620064287794, 'learning_rate': 0.8997204066587916, 'max_depth': 11, 'min_child_weight': 19.197911834329673, 'n_estimators': 30, 'reg_alpha': 1.9464979068715309, 'reg_lambda': 13, 'subsample': 0.8665556736882436}",
colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
0.968228237599,3.60776200643,0.899720406659,11,19.1979118343,30,1.94649790687,13,0.866555673688
Annealing,111,XGBClassifier,f1_weighted,8,0.735274769347,0.00977191206283,"{'colsample_bytree': 0.86900124541044066, 'gamma': 2.1049924581368176, 'learning_rate': 0.85206457718643547, 'max_depth': 3, 'min_child_weight': 8.1923283466419132, 'n_estimators': 39, 'reg_alpha': 11.619779341850629, 'reg_lambda': 20, 'subsample': 0.9003944179579163}",
colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample
0.86900124541,2.10499245814,0.852064577186,3,8.19232834664,39,11.6197793419,20,0.900394417958
